website,contact_url,niche,city,opportunity_score,website_score,mobile_score,speed_score,seo_score,website_roast,revenue_loss,status,business_name,phone
http://www.modernemedical.com/,http://www.modernemedical.com/,Medical Aesthetics,"Scottsdale, Arizona",30,30,100,28,80,,4500,New,Moderne Medical Aesthetics,(480) 477-7726
https://looklab.com/locations/scottsdale-az/,https://looklab.com/locations/scottsdale-az/,Medical Aesthetics,"Scottsdale, Arizona",0,0,100,88,100,,1000,New,Look Lab Med Spa,(480) 992-5665
https://www.adamandevemedspa.com/,https://www.adamandevemedspa.com/contact-us,Medical Aesthetics,"Scottsdale, Arizona",0,0,100,81,100,,1000,New,Adam & Eve Medical Aesthetics,(480) 575-6584
https://skinsavvyaesthetics.com/,https://skinsavvyaesthetics.com/contact,Medical Aesthetics,"Scottsdale, Arizona",0,0,100,89,100,,1000,New,Skin Savvy Aesthetics Med Spa,(480) 485-0682
https://www.aestheticassets.com/,https://www.aestheticassets.com/,Medical Aesthetics,"Scottsdale, Arizona",0,0,100,79,100,,1000,New,Aesthetic Assets,(480) 699-8089
https://www.wildandbeautifulaustin.com/?utm_source=GMBmain&utm_medium=organic,https://www.wildandbeautifulaustin.com/?utm_source=GMBmain&utm_medium=organic/contact-us,Medical Aesthetics,"Austin, Texas",10,10,100,5,100,,4500,New,Wild and Beautiful Natural Aesthetics,(512) 579-0899
http://www.westlakeaestheticswellness.com/?utm_source=GMB&utm_medium=organic,http://www.westlakeaestheticswellness.com/?utm_source=GMB&utm_medium=organic/contact,Medical Aesthetics,"Austin, Texas",65,65,0,50,0,"Revenue Audit on Standby. Est Leakage: $12,375/mo. Opportunity: B-Tier (Growth Opportunity).",12375,New,Westlake Aesthetics & Wellness,(512) 518-6273
http://austinmedspa.com/,http://austinmedspa.com/,Medical Aesthetics,"Austin, Texas",30,30,100,5,80,,4500,New,Austin Med Spa,(512) 479-9997
https://refineaesthetics.com/,https://refineaesthetics.com/,Medical Aesthetics,"Austin, Texas",0,0,100,82,100,,1000,New,Refine Aesthetics,(512) 572-1240
https://austinaestheticatelier.com/,https://austinaestheticatelier.com/contact,Medical Aesthetics,"Austin, Texas",0,0,100,59,100,,1000,New,Austin Aesthetic Atelier - Medical Spa + Wellness,(512) 643-6430
https://www.amedspa.com/?utm_source=GMB&utm_medium=organic,https://www.amedspa.com/?utm_source=GMB&utm_medium=organic,Medical Aesthetics,"Austin, Texas",0,0,100,61,80,,1000,New,Aesthetica Med Spa,(512) 899-2639
https://westlakefreshaesthetics.com/,https://westlakefreshaesthetics.com/contact,Medical Aesthetics,"Austin, Texas",0,0,100,87,80,,1000,New,Fresh Aesthetics,(737) 381-1735
https://secretmedspa.com/austin-tx/,https://secretmedspa.com/austin-tx/,Medical Aesthetics,"Austin, Texas",25,25,100,96,60,,9000,New,It's A Secret Med Spa - Austin,(512) 256-8608
https://www.musemedspaaustin.com/,https://www.musemedspaaustin.com/,Medical Aesthetics,"Austin, Texas",0,0,100,83,100,,1000,New,Muse Medspa,(512) 230-3422
https://www.austinaestheticsclub.com/,https://www.austinaestheticsclub.com/contact,Medical Aesthetics,"Austin, Texas",0,0,100,87,100,,1000,New,Austin Aesthetics Club,(512) 872-3914
http://www.texaslasermedspa.com/,http://www.texaslasermedspa.com/contact,Medical Aesthetics,"Austin, Texas",20,20,100,84,80,,1000,New,Texas Laser and Aesthetics Medspa,(512) 850-8438
http://www.deveniratx.com/,http://www.deveniratx.com/contact,Medical Aesthetics,"Austin, Texas",20,20,100,64,80,,1000,New,Devenir Aesthetics,(512) 477-3778
https://www.joannainjects.com/,https://www.joannainjects.com/about,Medical Aesthetics,"Austin, Texas",0,0,100,83,100,,1000,New,Joanna Injects Aesthetics,(209) 834-7405
https://beauxmedspa.com/,https://beauxmedspa.com/contact,Medical Aesthetics,"Austin, Texas",0,0,100,95,80,,1000,New,Beaux MedSpa,(512) 428-5438
http://www.mauimedspa.com/,http://www.mauimedspa.com/contact,Medical Aesthetics,"Austin, Texas",20,20,100,86,60,,1000,New,Maui MedSpa,(737) 240-2212
https://www.rejuvenateaustin.com/?utm_source=GBP,https://www.rejuvenateaustin.com/?utm_source=GBP,Medical Aesthetics,"Austin, Texas",0,0,100,88,80,,1000,New,Rejuvenate Austin,(512) 923-1071
https://themonicaaesthetic.com/,https://themonicaaesthetic.com/,Medical Aesthetics,"Austin, Texas",0,0,100,85,100,,1000,New,The Monica Aesthetic,(512) 387-0162
https://themedsparaleigh.com/,https://themedsparaleigh.com/about-us,Medical Aesthetics,"Raleigh, North Carolina",0,0,100,85,80,,1000,New,The MedSpa at Raleigh Plastic Surgery Center,(919) 333-4418
https://www.blossumaesthetics.com/,https://www.blossumaesthetics.com/,Medical Aesthetics,"Raleigh, North Carolina",0,0,100,46,100,,1000,New,Blossüm Aesthetics Co. Med Spa,(919) 336-1302
https://raleigh.theaestheticsloungeandspa.com/,https://raleigh.theaestheticsloungeandspa.com/contact,Medical Aesthetics,"Raleigh, North Carolina",0,0,100,84,100,,1000,New,The Aesthetics Lounge & Spa Raleigh,(919) 813-0043
https://primemdcenter.com/,https://primemdcenter.com/contact-us,Medical Aesthetics,"Raleigh, North Carolina",0,0,100,63,100,,1000,New,Prime MD Aesthetics + Wellness,(919) 948-6355
